"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-09-29","95.8","2.06","6.5","Rodón, Carlos",661531,607074,,"swinging_strike",,,,,11,"Brian Serven strikes out swinging.","R","R","L","SF","COL","S",,,2,1,2022,"0.25","1.47","-0.22","3.8",,678662,,0,6,"Top",,,,,642851,,,-6.560066938800611,-139.3140801980594,-4.800009882047434,4.762676970783651,32.79251287913917,-12.197884235919345,"3.34","1.59",,,,"95.4",2250,"6.2",662050,607074,642851,527038,665154,613564,543063,642731,573262,592626,"54.28",,,,,,,,41,4,"4-Seam Fastball",5,0,0,5,0,5,0,5,"Standard","Standard",146,"0","-0.099"
"FF","2022-09-29","94.3","2.17","6.42","Rodón, Carlos",678662,607074,,"swinging_strike",,,,,4,"Ezequiel Tovar doubles (1) on a sharp line drive to center fielder Mike Yastrzemski.","R","R","L","SF","COL","S",,,1,1,2022,"0.69","1.62","-0.4","2.11",,,,0,6,"Top",,,,,642851,,,-8.2026959066347,-136.74145920719616,-8.996119663595898,10.657131843810586,34.04405152667311,-9.930300867191043,"3.37","1.53",,,,"93.6",2342,"6.3",662050,607074,642851,527038,665154,613564,543063,642731,573262,592626,"54.16",,,,,,,,40,3,"4-Seam Fastball",5,0,0,5,0,5,0,5,"Standard","Standard",141,"0","-0.054"
"FF","2022-09-29","92.8","2.39","6.43","Rodón, Carlos",678662,607074,,"swinging_strike",,,,,3,"Ezequiel Tovar doubles (1) on a sharp line drive to center fielder Mike Yastrzemski.","R","R","L","SF","COL","S",,,0,0,2022,"0.73","1.52","0.65","3.03",,,,0,6,"Top",,,,,642851,,,-6.054693797397052,-134.9083751815009,-6.23117252485625,10.260889163187855,30.887053202719077,-12.394489710586228,"3.37","1.53",,,,"92.9",2305,"6.5",662050,607074,642851,527038,665154,613564,543063,642731,573262,592626,"54",,,,,,,,40,1,"4-Seam Fastball",5,0,0,5,0,5,0,5,"Standard","Standard",145,"0","-0.034"
"FF","2022-09-29","95.3","2.19","6.46","Rodón, Carlos",660707,607074,"strikeout","swinging_strike",,,,,12,"Elehuris Montero strikes out swinging.","R","R","L","SF","COL","S",2,,1,2,2022,"0.74","1.39","0.92","3.28",,,,2,5,"Top",,,,,642851,,,-4.972053765881064,-138.55745814197005,-5.792334764746198,10.604688222005512,32.64129344165166,-13.159268289784702,"3.33","1.67",,,,"94.9",2287,"6.3",662050,607074,642851,527038,665154,613564,543063,642731,573262,592626,"54.25",,,"0",1,0,0,,35,4,"4-Seam Fastball",5,0,0,5,0,5,0,5,"Standard","Standard",145,"0.004","-0.07"
"FF","2022-09-29","95.6","2.24","6.39","Rodón, Carlos",660707,607074,,"swinging_strike",,,,,9,"Elehuris Montero strikes out swinging.","R","R","L","SF","COL","S",,,0,1,2022,"0.95","1.24","0.57","2.14",,,,2,5,"Top",,,,,642851,,,-6.487017508815313,-138.85651126698494,-8.305753827106031,13.719274275845132,31.73899561676007,-14.46537592147469,"3.33","1.67",,,,"95",2282,"6.1",662050,607074,642851,527038,665154,613564,543063,642731,573262,592626,"54.39",,,,,,,,35,2,"4-Seam Fastball",5,0,0,5,0,5,0,5,"Standard","Standard",146,"0","-0.023"
"FF","2022-09-29","96.1","2.09","6.54","Rodón, Carlos",669911,607074,"strikeout","swinging_strike",,,,,12,"Michael Toglia strikes out swinging.","R","R","L","SF","COL","S",2,,2,2,2022,"0.67","1.58","0.15","4.38",,,,1,5,"Top",,,,,642851,,,-6.640987795437208,-139.79034712053803,-3.6953532042469104,10.243086776570502,31.132768822402294,-10.804608390925846,"3.77","1.82",,,,"95.9",2225,"6.1",662050,607074,642851,527038,665154,613564,543063,642731,573262,592626,"54.36",,,"0",1,0,0,,34,6,"4-Seam Fastball",5,0,0,5,0,5,0,5,"Standard","Standard",154,"0.007","-0.134"
"FF","2022-09-29","94.6","2.1","6.45","Rodón, Carlos",656248,607074,,"swinging_strike",,,,,2,"Sean Bouchard called out on strikes.","R","R","L","SF","COL","S",,,1,1,2022,"0.56","1.63","0.28","3",,,,0,5,"Top",,,,,642851,,,-5.984871601001573,-137.5036329852629,-6.924955552574315,8.405077059354504,31.082897117267933,-10.098391825879176,"3.36","1.61",,,,"94.4",2377,"6.3",662050,607074,642851,527038,665154,613564,543063,642731,573262,592626,"54.21",,,,,,,,33,3,"4-Seam Fastball",5,0,0,5,0,5,0,5,"Standard","Standard",144,"0","-0.054"
"FF","2022-09-29","93.6","2.02","6.59","Rodón, Carlos",656248,607074,,"swinging_strike",,,,,12,"Sean Bouchard called out on strikes.","R","R","L","SF","COL","S",,,1,0,2022,"0.55","1.57","0.61","3.69",,,,0,5,"Top",,,,,642851,,,-4.840495292805924,-136.26459927057056,-5.230626772865833,7.903259246221649,28.35395564305302,-11.626827324840287,"3.36","1.61",,,,"93.4",2376,"6",662050,607074,642851,527038,665154,613564,543063,642731,573262,592626,"54.47",,,,,,,,33,2,"4-Seam Fastball",5,0,0,5,0,5,0,5,"Standard","Standard",150,"0","-0.043"
"FF","2022-09-29","95.3","2.01","6.6","Rodón, Carlos",543068,607074,,"swinging_strike",,,,,12,"C.J. Cron lines out sharply to left fielder Thairo Estrada.","R","R","L","SF","COL","S",,,0,0,2022,"0.61","1.59","0.39","4.22",,,,2,4,"Top",,,,,642851,,,-5.577424155926283,-138.56236083000377,-4.1245718676510865,9.118279986518553,33.50290702643517,-11.09436398677474,"3.67","1.66",,,,"94.7",2296,"6.2",662050,607074,642851,527038,665154,613564,543063,642731,573262,592626,"54.35",,,,,,,,28,1,"4-Seam Fastball",5,0,0,5,0,5,0,5,"Standard","Standard",159,"0","-0.017"
"FF","2022-09-29","95.2","1.94","6.51","Rodón, Carlos",661531,607074,"strikeout","swinging_strike",,,,,4,"Brian Serven strikes out swinging.","R","R","L","SF","COL","S",2,,2,2,2022,"0.66","1.48","-0.56","2.5",,,,1,3,"Top",,,,,642851,,,-8.034056373389248,-138.31111340481218,-8.24189105954113,10.084702260489792,26.529443077305046,-11.511089476855894,"3.34","1.59",,,,"95.6",2274,"6.3",662050,607074,642851,527038,665154,613564,543063,642731,573262,592626,"54.19",,,"0",1,0,0,,21,6,"4-Seam Fastball",5,0,0,5,0,5,0,5,"Standard","Standard",155,"0.008","-0.134"
"FF","2022-09-29","94","2.04","6.65","Rodón, Carlos",663898,607074,,"swinging_strike",,,,,3,"Brendan Rodgers called out on strikes.","R","R","L","SF","COL","S",,,0,0,2022,"0.63","1.44","0.48","3.08",,602074,,1,1,"Top",,,,,642851,,,-5.435520373145302,-136.52051474809812,-6.654652705320561,9.19629546692382,33.59584898838409,-12.842309263042207,"3.33","1.57",,,,"93.3",2337,"6.3",662050,607074,642851,527038,665154,613564,543063,642731,573262,592626,"54.23",,,,,,,,3,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",158,"0","-0.043"
"FF","2022-09-29","91.9","2.52","6.51","Rodón, Carlos",602074,607074,,"swinging_strike",,,,,3,"Yonathan Daza doubles (21) on a line drive to center fielder Mike Yastrzemski.","R","R","L","SF","COL","S",,,0,1,2022,"0.66","1.57","0.28","3.32",,,,0,1,"Top",,,,,642851,,,-7.097855264492989,-133.68312058219038,-5.687053311785556,9.323297767100643,26.021971583419525,-12.235595978798008,"3.45","1.68",,,,"92.1",2207,"6.2",662050,607074,642851,527038,665154,613564,543063,642731,573262,592626,"54.27",,,,,,,,1,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",147,"0","-0.046"
"FF","2022-09-23","94.7","1.84","6.49","Rodón, Carlos",656669,607074,,"swinging_strike",,,,,2,"Jordan Luplow walks.","R","R","L","AZ","SF","S",,,3,0,2022,"0.63","1.49","0.18","3.14",,,,2,4,"Bot",,,,,642851,,,-5.729491340898638,-137.69652614877631,-6.380074380296004,9.289379439825145,32.543759111989246,-11.98434214076559,"3.34","1.62",,,,"94.4",2390,"6.3",663282,607074,642851,605204,527038,446334,543063,670768,596103,573262,"54.21",,,,,,,,33,4,"4-Seam Fastball",2,4,2,4,4,2,2,4,"Standard","Standard",153,"0","-0.026"
"FF","2022-09-23","95.3","1.7","6.51","Rodón, Carlos",642727,607074,"strikeout","swinging_strike",,,,,8,"Sergio Alcantara strikes out swinging.","R","R","L","AZ","SF","S",2,,3,2,2022,"0.87","1.47","0.21","1.93",,,656669,2,2,"Bot",,,,,642851,,,-5.860132185050361,-138.31960753316304,-9.651867656677922,12.469508970628837,31.68848389120457,-11.355122478073136,"3.38","1.66",,,,"95.1",2355,"6.4",663282,607074,642851,605204,527038,446334,543063,670768,596103,573262,"54.1",,,"0",1,0,0,,14,8,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Standard","Standard",150,"-0.025","-0.256"
"FF","2022-09-23","93.3","1.95","6.44","Rodón, Carlos",642727,607074,,"foul_tip",,,,,5,"Sergio Alcantara strikes out swinging.","R","R","L","AZ","SF","S",,,2,1,2022,"0.45","1.46","0.04","2.38",,,656669,2,2,"Bot",,,,,642851,,,-5.898593829013312,-135.4924955784195,-7.835829189736382,6.848914467458071,31.39294374680806,-12.691914333388707,"3.38","1.66",,,,"93",2381,"6.4",663282,607074,642851,605204,527038,446334,543063,670768,596103,573262,"54.12",,,,,,,,14,4,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Standard","Standard",150,"0","-0.05"
"FF","2022-09-23","93","1.92","6.5","Rodón, Carlos",642727,607074,,"swinging_strike",,,,,4,"Sergio Alcantara strikes out swinging.","R","R","L","AZ","SF","S",,,1,0,2022,"0.59","1.46","-0.42","2.74",,,656669,2,2,"Bot",,,,,642851,,,-7.2754775355237875,-135.01757701238753,-6.979237227573895,8.861729103762897,31.455557311048555,-12.942827328074218,"3.38","1.66",,,,"92.4",2393,"6.2",663282,607074,642851,605204,527038,446334,543063,670768,596103,573262,"54.26",,,,,,,,14,2,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Standard","Standard",156,"0","-0.041"
"FF","2022-09-23","93.8","1.92","6.46","Rodón, Carlos",656669,607074,,"swinging_strike",,,,,11,"Jordan Luplow walks.","R","R","L","AZ","SF","S",,,2,1,2022,"0.56","1.66","-0.28","3.79",,,,2,2,"Bot",,,,,642851,,,-6.903934620487612,-136.29747994029114,-4.75364627724585,8.624563840312621,33.44956095674152,-10.75302812604489,"3.34","1.62",,,,"93.1",2252,"6.2",663282,607074,642851,605204,527038,446334,543063,670768,596103,573262,"54.25",,,,,,,,13,4,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Standard","Strategic",153,"0","-0.031"
"FF","2022-09-23","92.4","1.85","6.61","Rodón, Carlos",572233,607074,,"foul_tip",,,,,1,"Christian Walker called out on strikes.","R","R","L","AZ","SF","S",,,0,1,2022,"0.53","1.49","-0.36","3.15",,,,0,2,"Bot",,,,,642851,,,-6.739358095638825,-134.24499679680878,-6.168507565442132,7.929456812186337,30.840347710947338,-13.032097416772064,"3.35","1.54",,,,"91.7",2344,"6.1",663282,607074,642851,605204,527038,446334,543063,670768,596103,573262,"54.38",,,,,,,,11,2,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Standard","Standard",158,"0","-0.046"
"FF","2022-09-23","93","1.98","6.47","Rodón, Carlos",656896,607074,,"swinging_strike",,,,,2,"Emmanuel Rivera called out on strikes.","R","R","L","AZ","SF","S",,,1,1,2022,"0.5","1.55","0.18","3.3",,,,2,1,"Bot",,,,,642851,,,-5.71360695111871,-135.17565503506285,-5.703037454455198,7.476478274318176,31.21839605944656,-12.167243737505096,"3.48","1.66",,,,"92.6",2446,"6.3",663282,607074,642851,605204,527038,446334,543063,670768,596103,573262,"54.24",,,,,,,,6,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",150,"0","-0.023"
"FF","2022-09-23","93.7","1.92","6.59","Rodón, Carlos",656448,607074,"strikeout","swinging_strike",,,,,12,"Stone Garrett strikes out swinging.","R","R","L","AZ","SF","S",2,,1,2,2022,"0.61","1.58","0.32","4.15",,,,1,1,"Bot",,,,,642851,,,-5.474396410757349,-136.24700048161554,-4.007879428002732,8.888386547435317,31.610311117295787,-11.822219413025472,"3.47","1.72",,,,"93.3",2446,"6.2",663282,607074,642851,605204,527038,446334,543063,670768,596103,573262,"54.27",,,"0",1,0,0,,5,5,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",152,"-0.016","-0.112"
"FF","2022-09-14","94.2","2.14","6.58","Rodón, Carlos",542303,607074,,"swinging_strike",,,,,12,"Marcell Ozuna called out on strikes.","R","R","L","SF","ATL","S",,,0,1,2022,"0.86","1.57","0.94","3.61",,,661388,2,5,"Top",,,,,642851,,,-4.979132835029332,-137.12064998906567,-5.489633675257004,11.94734355548696,29.791874488494276,-11.28898202361971,"3.59","1.78",,,,"93.7",2385,"5.9",662027,607074,642851,605204,527038,681584,543063,592626,573262,664774,"54.58",,,,,,,,36,2,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Standard","Standard",153,"0","-0.048"
"FF","2022-09-14","95.8","2.04","6.57","Rodón, Carlos",671739,607074,"strikeout","swinging_strike",,,,,12,"Michael Harris II strikes out swinging.","R","L","L","SF","ATL","S",2,,1,2,2022,"0.62","1.41","1.15","3.74",,,661388,0,5,"Top",,,,,642851,,,-3.739913722430634,-139.49360211770255,-5.080984644941841,8.9568171005373,29.55196690561533,-12.777290015565478,"3.56","1.61",,,,"95.9",2413,"6.2",662027,607074,642851,605204,527038,681584,543063,592626,573262,664774,"54.35",,,"0",1,0,0,,34,4,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Infield shift","Standard",152,"0.048","-0.251"
"FF","2022-09-14","93.8","2","6.62","Rodón, Carlos",671739,607074,,"swinging_strike",,,,,3,"Michael Harris II strikes out swinging.","R","L","L","SF","ATL","S",,,0,1,2022,"0.66","1.48","0.45","3.05",,,661388,0,5,"Top",,,,,642851,,,-5.457628904881831,-136.52685471147828,-6.830563291395745,9.393749419196066,27.819780731446336,-12.276003186085052,"3.56","1.61",,,,"94",2340,"6.2",662027,607074,642851,605204,527038,681584,543063,592626,573262,664774,"54.3",,,,,,,,34,2,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Infield shift","Standard",152,"0","-0.08"
"FF","2022-09-14","93.6","2.16","6.61","Rodón, Carlos",621020,607074,,"swinging_strike",,,,,12,"Dansby Swanson strikes out swinging.","R","R","L","SF","ATL","S",,,1,1,2022,"0.54","1.57","0.84","3.13",,,,0,4,"Top",,,,,642851,,,-4.578828128409286,-136.1964542275281,-6.7049662808350305,7.66738255511859,28.344346067365805,-11.307240428887082,"3.53","1.7",,,,"93.6",2290,"6.2",662027,607074,642851,605204,527038,681584,543063,592626,573262,664774,"54.31",,,,,,,,25,3,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",145,"0","-0.054"
"FF","2022-09-14","96.1","2.05","6.62","Rodón, Carlos",542303,607074,"strikeout","swinging_strike",,,,,6,"Marcell Ozuna strikes out swinging.","R","R","L","SF","ATL","S",2,,3,2,2022,"0.68","1.45","0.7","2.65",,687093,,0,3,"Top",,,,,642851,,,-5.1044709459154864,-139.6684343362701,-8.180474118945494,10.03581467563485,30.53003614264229,-11.553866167794887,"3.59","1.78",,,,"95.8",2306,"6.1",662027,607074,642851,605204,527038,681584,543063,592626,573262,664774,"54.36",,,"0",1,0,0,,18,6,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",150,"0.049","-0.467"
"FF","2022-09-14","94.5","2.16","6.62","Rodón, Carlos",542303,607074,,"swinging_strike",,,,,3,"Marcell Ozuna strikes out swinging.","R","R","L","SF","ATL","S",,,3,1,2022,"0.64","1.39","0.42","3.46",,687093,,0,3,"Top",,,,,642851,,,-5.972159394415769,-137.52493689641423,-5.66332259938285,9.441838888569585,28.489018902517422,-13.497492351677948,"3.59","1.78",,,,"94.7",2240,"6.2",662027,607074,642851,605204,527038,681584,543063,592626,573262,664774,"54.26",,,,,,,,18,5,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",163,"0","-0.132"
"FF","2022-09-14","95.2","2.12","6.62","Rodón, Carlos",661388,607074,"strikeout","swinging_strike",,,,,3,"William Contreras strikes out swinging.","R","R","L","SF","ATL","S",2,,2,2,2022,"0.85","1.31","0.79","3.2",,,,1,2,"Top",,,,,642851,,,-5.376202154582713,-138.4344153327113,-6.252301863042321,12.132380321017127,30.241555245086467,-14.079753293571748,"3.6","1.73",,,,"94.8",2344,"6.1",662027,607074,642851,605204,527038,681584,543063,592626,573262,664774,"54.44",,,"0",1,0,0,,9,5,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",147,"0.017","-0.134"
"FF","2022-09-09","95.2","2.01","6.36","Rodón, Carlos",656716,607074,"strikeout","swinging_strike",,,,,12,"Zach McKinstry strikes out swinging.","R","L","L","CHC","SF","S",2,,3,2,2022,"0.72","1.46","0.92","2.82",,,,0,6,"Bot",,,,,663698,,,-4.512817170628678,-138.48636958283043,-6.958302977061496,10.268161453263376,29.463101732903098,-11.978955220181463,"3.24","1.58",,,,"95.7",2465,"6.5",663217,607074,663698,681584,527038,446334,642731,621573,621446,573262,"54.03",,,"0",1,0,0,,42,6,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Standard","Standard",148,"-0.012","-0.299"
