"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
273,607074,"Rodón, Carlos",2985,9.1,0,0,,0,0,0,,0,100,,,2373,95.9,95.69,273,273,0,-0.20000000000000284,6.23,109,152,115,148,298,322,291
231,543037,"Cole, Gerrit",3274,7.1,0,0,,0,0,0,,0,81,,,2445,98.1,98.08,231,231,0,0,6.46,112,160,122,153,291,326,292
230,664299,"Javier, Cristian",2554,9,0,0,,0,0,0,,0,86,,,2358,94,93.25,230,230,0,-0.7999999999999972,6,114,157,119,150,296,326,293
221,675911,"Strider, Spencer",2277,9.7,0,0,,0,0,0,,0,93,,,2363,98.5,99.56,221,221,0,1.0999999999999943,6.92,113,152,122,150,306,324,300
211,669302,"Gilbert, Logan",3015,7,0,0,,0,0,0,,0,76,,,2147,96.3,98.28,211,211,0,2,7.4,113,154,119,148,292,324,300
198,657746,"Ryan, Joe",2391,8.3,0,0,,0,0,0,,0,70,,,2200,92.2,92.39,198,198,0,0.20000000000000284,6.38,110,158,118,151,297,330,294
173,668881,"Greene, Hunter",2200,7.9,0,0,,0,0,0,,0,67,,,2380,99.2,99.05,173,173,0,-0.10000000000000853,6.34,115,152,123,147,290,320,294
172,592662,"Ray, Robbie",3047,5.6,0,0,,0,0,0,,0,72,,,2283,93.7,93.96,172,172,0,0.29999999999999716,6.49,110,152,120,146,294,322,287
169,601713,"Pivetta, Nick",3082,5.5,0,0,,0,0,0,,0,61,,,2323,93.8,94.34,169,169,0,0.5,6.77,109,155,118,150,292,329,297
168,641778,"Lauer, Eric",2676,6.3,0,0,,0,0,0,,0,64,,,2309,93.4,93.09,168,168,0,-0.30000000000001137,6.15,104,153,119,145,299,319,295
